10,933.6534,431.9415,1858.454,-47.60352518,-19.05000137,-161.528548
10.1,987.8505,431.0993,1847.392,-45.91727275,-12.84813787,-161.58405
10.2,1049.157,435.1257,1832.29,-46.29004043,-5.644657148,-161.0179733
10.3,1104.626,443.2536,1818.412,-47.20810995,0.601876637,-159.9438521
10.4,1144.848,452.1437,1805.758,-47.15762251,5.898513686,-158.5047628
10.5,1172.201,460.6886,1790.71,-46.6005265,9.089192087,-160.8341445
10.6,1180.611,467.3532,1774.803,-46.41154344,9.590658889,-160.3977475
10.7,1164.423,467.9234,1760.536,-44.28566758,6.760882931,-160.1982934
10.8,1122.772,468.0655,1745.212,-42.55700268,1.249745425,-159.9677255
10.9,1062.971,474.2997,1735.796,-42.18318863,-6.752673605,-159.5848521
11,988.6483,480.9427,1726.891,-39.95631431,-14.75713272,-162.978151
11.1,910.2661,485.338,1715.486,-37.41599835,-22.60859083,-165.940375
11.2,835.2727,486.8172,1701.01,-33.42206367,-29.57825183,-170.808894
11.3,789.4227,484.2792,1685.286,-29.01735228,-31.71776278,-175.8328939
11.4,792.1721,478.2487,1672.902,-27.42962234,-29.16130697,-175.839564
11.5,832.2151,475.7288,1662.374,-27.10970108,-22.69640916,-175.0532719
11.6,890.7822,482.3383,1654.399,-28.08339644,-13.30849762,-173.2588007
11.7,939.077,496.6593,1645.743,-30.30584629,-5.976531136,-172.8452876
11.8,952.5245,508.1176,1641.495,-32.7377342,-3.142925271,-172.3332867
11.9,926.5452,509.5832,1644.732,-33.01395683,-3.739723772,-174.3797503
12,872.6507,509.1353,1654.713,-34.04313627,-8.149679023,-176.3886435
12.1,804.7446,512.6669,1663.88,-35.19792691,-13.9170549,-178.5779009
12.2,731.7896,518.5471,1664.951,-35.27205912,-19.32092063,179.4492247
12.3,661.5117,524.5674,1655.203,-34.72919868,-24.92043873,178.0908704
12.4,600.0528,528.0919,1637.065,-32.73623204,-29.32541697,175.6716122
12.5,551.265,527.3686,1611.747,-29.43344168,-32.48944279,172.9528615
12.6,519.8693,524.8839,1583.537,-26.83657381,-34.58625333,170.5802399
